加速度X：	 加速度Y：	 加速度Z：	角速度X：	 角速度Y：	 角速度Z：	 地磁X：	 地磁Y：	 地磁Z：
18.221	-11.178	-3.50312	-0.34028400000000003	1.06031	-1.99295	-60.4765	24.8169	-10.1858
16.7453	-8.5025	-4.54822	0.312095	0.6848770000000001	-2.01288	-60.8019	23.8404	-10.5649
16.8093	-3.28366	-3.97508	0.984309	0.421086	-2.01437	-61.6834	22.7683	-10.5691
19.0601	2.40261	-4.98911	1.89845	0.310831	-2.25641	-63.2444	21.5157	-11.8075
19.7381	5.78665	-8.34848	2.65675	0.216641	-2.6468	-63.5525	18.4622	-13.6943
20.1083	11.8088	-6.44765	3.0080400000000003	0.26496	-3.07632	-64.8909	17.312	-14.9334
19.9874	17.5298	-3.39296	2.99421	0.586014	-3.46642	-65.971	13.726	-16.2006
20.2626	17.7884	-2.26012	2.90728	0.758662	-3.91719	-66.4988	10.7807	-17.3417
19.3463	11.8445	-1.84261	2.4311	1.01003	-3.74909	-67.1504	8.18212	-19.3445
15.3711	7.71213	-3.79092	1.51311	0.932908	-3.34891	-66.9058	6.0922	-20.4828
14.847	8.272110000000001	-3.41156	0.679397	1.04679	-3.31931	-68.3574	4.19335	-23.2143
9.93749	8.60455	-2.766	-0.113083	1.08746	-2.95472	-68.1049	2.30593	-22.989
9.16946	6.274769999999998	-3.05713	-0.688516	0.8237700000000001	-2.80273	-68.2114	0.7912819999999999	-24.9847
10.3858	3.74924	-2.99493	-1.08026	0.968534	-2.5975900000000003	-68.7645	-0.27939899999999995	-25.9819
8.706669999999999	2.16186	-2.0727900000000004	-1.07387	1.09067	-2.34357	-68.5476	-0.814238	-27.846
6.47106	0.438061	-1.29861	-0.850258	1.05311	-2.08653	-68.6482	-1.90732	-28.352
5.45029	-1.7095200000000002	-0.96844	-0.517813	0.9035	-1.83656	-68.7532	-3.31658	-29.9753
4.71425	-3.40352	-0.838	0.0216707	0.8385239999999999	-1.63802	-68.3005	-3.98625	-30.605
3.33201	-3.91809	-0.8441379999999999	0.532998	0.689632	-1.4049	-68.3119	-4.29081	-32.5886
1.66324	-3.70711	-1.16893	1.19609	0.602166	-1.2228	-68.3033	-5.59862	-33.8404
0.369091	-3.45096	-1.72288	1.73718	0.421743	-0.95366	-68.9681	-6.5583100000000005	-34.5879
-0.6692	-3.0282400000000003	-2.17278	2.22971	0.292071	-0.662117	-68.7318	-7.77193	-35.2217
-1.04562	-2.98321	-2.38282	2.62918	0.107539	-0.413871	-69.0638	-8.629760000000001	-36.2183
-0.881333	-3.25568	-2.59471	3.03767	-0.0365106	-0.150254	-69.0405	-10.501	-36.6098
-0.371032	-3.5128	-2.6874	3.33963	-0.210566	0.140371	-68.9175	-11.4933	-36.9927
0.169945	-3.07404	-2.67655	3.4748300000000003	-0.270715	0.419023	-68.7901	-12.1694	-36.2583
0.921322	-2.07563	-2.68376	3.4347800000000004	-0.34326100000000004	0.628563	-69.2291	-13.2473	-37.0089
0.741241	-1.18332	-2.70081	3.2747900000000003	-0.2825	0.8926040000000001	-69.4358	-14.5621	-37.145
0.171242	-0.6538649999999999	-2.5329900000000003	3.03691	-0.342822	1.1962700000000002	-69.7395	-15.8979	-35.4239
-0.158471	-0.366359	-2.36568	2.79576	-0.286771	1.43405	-70.0724	-15.784	-34.801
-0.053417999999999986	-0.275623	-2.3968	2.52233	-0.264816	1.78645	-70.7502	-15.5363	-35.0404
-0.0375284	0.132977	-2.21658	2.28776	-0.240884	2.00741	-70.5331	-15.3168	-35.535
-0.036045	0.950095	-1.91651	2.14229	-0.177572	2.25576	-71.1981	-15.6293	-35.1615
0.190467	2.0394	-1.7093200000000002	1.86073	-0.185198	2.48339	-71.3203	-14.2071	-33.9076
0.731635	3.40076	-1.71658	1.52545	-0.159407	2.62297	-71.7817	-13.1997	-33.7693
0.851466	4.6559599999999985	-1.88774	1.18384	-0.225149	2.76797	-72.0134	-12.1015	-32.7654
1.04652	6.09269	-2.04475	0.78542	-0.25051100000000004	2.8557	-72.2502	-10.7791	-32.0067
1.3474700000000002	7.7111399999999986	-2.03642	0.524081	-0.327587	2.90076	-73.5021	-9.19562	-31.6082
1.63325	8.80022	-2.02631	0.330952	-0.316923	2.87357	-72.9398	-8.57138	-30.2446
2.05528	10.0257	-1.77519	0.199104	-0.325075	2.74317	-74.2107	-5.986280000000002	-30.4542
2.3428400000000003	11.6296	-1.37323	0.0639677	-0.248042	2.59072	-73.5451	-4.5967400000000005	-28.8357
2.2241	13.4297	-1.15136	-0.06826669999999999	-0.285736	2.36315	-74.0153	-2.82009	-28.4416
1.62631	15.0789	-0.517811	-0.160366	-0.238993	2.1128400000000003	-73.4596	-1.86143	-27.3219
1.10445	16.0328	0.359735	-0.227504	-0.343442	1.86512	-74.028	-1.07413	-26.9375
0.777925	15.5499	1.34681	-0.123251	-0.337773	1.62204	-73.9208	-0.0997072	-25.814
